"Detection","RecSN","dtf","Hex","Tilt","Volt","Temp","Pres","Amp","Freq","Thresh","nbw","snr","Valid","nPRI","tdiff","winmax"
"   7489","15-6003",2017-03-28 11:42:25,"34EA",58.4,3.66,14,0,1826,827,100,444,14.2,1,5,4.9281599521637,2017-03-28 11:43:44
"   7490","15-6003",2017-03-28 11:42:35,"34EA",58.4,3.66,14,0,1230,835,100,516,10.6,1,5,9.85636806488037,2017-03-28 11:43:54
"   7491","15-6003",2017-03-28 11:44:28,"34EA",41.7,3.68,13.7,0,932,598,100,578,7.2,1,5,113.410122871399,2017-03-28 11:45:47
"   7492","15-6003",2017-03-28 11:44:53,"34EA",42.9,3.65,13.8,0,823,726,100,604,5.8,1,5,24.6604220867157,2017-03-28 11:46:12
"   3599","15-6003",2017-03-24 00:15:37,"34EB",46.2,3.71,13.7,0,700,-401,100,596,4.5,1,5,NA,2017-03-24 00:16:56
"   8738","15-6003",2017-04-12 16:39:49,"34F5",56,3.55,14.2,0,625,368,100,542,4.3,1,5,NA,2017-04-12 16:41:08
"   8739","15-6003",2017-04-12 16:40:08,"34F5",56.8,3.55,14.3,0,630,-711,100,567,4,1,5,19.7918210029602,2017-04-12 16:41:27
"   7578","15-6003",2017-03-29 23:03:46,"350B",41.1,3.65,14.6,0,802,2386,100,647,5,1,5,NA,2017-03-29 23:05:05
"   6504","15-6003",2017-03-24 13:05:03,"3513",43.2,3.71,13.6,0,1249,1804,100,490,10.1,1,5,54.7330989837646,2017-03-24 13:06:22
"   7274","15-6003",2017-03-27 04:22:45,"3519",42.1,3.68,13.1,0,995,-405,100,641,6.9,1,5,NA,2017-03-27 04:24:04
"   3299","15-6003",2017-03-23 23:42:06,"351B",39.3,3.71,14,0,940,459,100,738,5.2,1,5,NA,2017-03-23 23:43:25
"   3300","15-6003",2017-03-23 23:42:11,"351B",36.3,3.72,13.5,0,971,878,100,771,5.1,1,5,4.89138698577881,2017-03-23 23:43:30
"   3301","15-6003",2017-03-23 23:42:55,"351B",42.9,3.71,14,0,859,416,100,633,5.7,1,5,44.0536460876465,2017-03-23 23:44:14
"   6334","15-6003",2017-03-24 12:15:47,"3527",39.9,3.71,13.4,0,891,1057,100,498,7,1,5,35.0960590839386,2017-03-24 12:17:06
"   6336","15-6003",2017-03-24 12:17:07,"3527",46,3.71,13.2,0,1056,1643,100,428,9.8,1,5,80.2148540019989,2017-03-24 12:18:26
"   6339","15-6003",2017-03-24 12:18:22,"3527",42.7,3.71,13.5,0,632,1334,100,458,4.7,1,5,75.2154960632324,2017-03-24 12:19:41
"   6343","15-6003",2017-03-24 12:19:02,"3527",39.3,3.69,13.4,0,855,1253,100,485,6.9,1,5,40.1249718666077,2017-03-24 12:20:21
"   6568","15-6003",2017-03-24 13:34:09,"3527",41.2,3.71,13.5,0,700,550,100,561,5,1,5,4507.18836903572,2017-03-24 13:35:28
"   6569","15-6003",2017-03-24 13:34:19,"3527",41.2,3.71,13.5,0,482,1641,100,490,1.8,1,5,10.029412984848,2017-03-24 13:35:38
"   2368","15-6003",2017-03-14 08:15:04,"3528",88,3.78,9.9,0,101,-1905,100,13,17.8,1,5,NA,2017-03-14 08:16:23
"   2260","15-6003",2017-03-14 00:09:49,"3532",89.8,3.81,12.9,0,87,-1813,100,8,18.8,1,5,NA,2017-03-14 00:11:08
"   2015","15-6003",2017-03-13 00:37:26,"353B",89.8,3.82,12.4,0,105,-1605,100,8,20.4,1,5,NA,2017-03-13 00:38:45
"   8385","15-6003",2017-04-07 04:36:58,"354B",39.1,3.61,14.2,0,666,753,100,540,4.9,1,5,NA,2017-04-07 04:38:17
"   8386","15-6003",2017-04-07 04:37:13,"354B",40.3,3.58,13.9,0,854,177,100,503,7.7,1,5,14.9059491157532,2017-04-07 04:38:32
"   8387","15-6003",2017-04-07 04:37:38,"354B",46.8,3.58,13.1,0,462,-283,100,442,2.3,1,5,24.8566610813141,2017-04-07 04:38:57
