"Filename","RecSN","DT","FracSec","Hex","CRC","validFlag","TagAmp","NBW","nPRI","dtf","tdiff","winmax"
"2015-6034170371415","2015-6034","02/14/2017 02:24:16",0.654395,"2EED","2D",0,105,53,5,2017-02-14 02:24:16,NA,2017-02-14 02:25:35
"2015-6034170371415","2015-6034","02/13/2017 11:06:06",0.977479,"2EF5","CB",0,122,49,5,2017-02-13 11:06:06,NA,2017-02-13 11:07:25
"2015-6034170371415","2015-6034","02/06/2017 15:14:16",0.590973,"2F25","F0",0,88,8,5,2017-02-06 15:14:16,NA,2017-02-06 15:15:35
"2015-6034170371415","2015-6034","02/13/2017 12:01:23",0.147182,"2F25","90",0,76,4,5,2017-02-13 12:01:23,593226.556209087,2017-02-13 12:02:42
"2015-6034170371415","2015-6034","02/12/2017 13:48:33",0.448837,"2F29","8C",0,88,0,5,2017-02-12 13:48:33,NA,2017-02-12 13:49:52
"2015-6034170371415","2015-6034","02/13/2017 20:15:44",0.002567,"2F29","9D",0,126,60,5,2017-02-13 20:15:44,109630.553730011,2017-02-13 20:17:03
"2015-6034170371415","2015-6034","02/14/2017 04:45:38",0.174647,"2F2A","87",0,75,7,5,2017-02-14 04:45:38,NA,2017-02-14 04:46:57
"2015-6034170371415","2015-6034","02/07/2017 06:33:50",0.038137,"2F2B","9C",0,90,0,5,2017-02-07 06:33:50,NA,2017-02-07 06:35:09
"2015-6034170371415","2015-6034","02/06/2017 21:40:52",0.532265,"2F2D","00",0,80,0,5,2017-02-06 21:40:52,NA,2017-02-06 21:42:11
"2015-6034170371415","2015-6034","02/07/2017 18:47:05",0.194309,"2F2D","FB",0,76,2,5,2017-02-07 18:47:05,75972.6620440483,2017-02-07 18:48:24
"2015-6034170371415","2015-6034","02/13/2017 09:00:00",0.683446,"2F2D","71",0,128,41,5,2017-02-13 09:00:00,483175.489136934,2017-02-13 09:01:19
"2015-6034170371415","2015-6034","02/13/2017 15:10:39",0.49363,"2F2D","EC",0,111,40,5,2017-02-13 15:10:39,22238.8101840019,2017-02-13 15:11:58
"2015-6034170371415","2015-6034","02/13/2017 16:26:43",0.025734,"2F2D","47",0,121,20,5,2017-02-13 16:26:43,4563.53210401535,2017-02-13 16:28:02
"2015-6034170371415","2015-6034","02/13/2017 20:23:38",0.986923,"2F2D","E4",0,117,56,5,2017-02-13 20:23:38,14215.9611890316,2017-02-13 20:24:57
"2015-6034170371415","2015-6034","02/13/2017 20:24:23",0.149059,"2F2D","F9",0,128,53,5,2017-02-13 20:24:23,44.1621360778809,2017-02-13 20:25:42
"2015-6034170371415","2015-6034","02/09/2017 13:28:03",0.628228,"2F35","5C",0,108,8,5,2017-02-09 13:28:03,NA,2017-02-09 13:29:22
"2015-6034170371415","2015-6034","02/13/2017 20:09:15",0.292975,"2F35","E5",0,116,60,5,2017-02-13 20:09:15,369671.664747,2017-02-13 20:10:34
"2015-6034170371415","2015-6034","02/10/2017 02:51:08",0.95545,"2F45","23",0,78,0,5,2017-02-10 02:51:08,NA,2017-02-10 02:52:27
"2015-6034170371415","2015-6034","02/11/2017 19:50:57",0.100386,"2F45","63",0,68,0,5,2017-02-11 19:50:57,147588.144935846,2017-02-11 19:52:16
"2015-6034170371415","2015-6034","02/13/2017 07:28:47",0.138791,"2F45","63",0,102,19,5,2017-02-13 07:28:47,128270.03840518,2017-02-13 07:30:06
"2015-6034170371415","2015-6034","02/13/2017 20:26:50",0.332092,"2F49","AC",0,128,46,5,2017-02-13 20:26:50,NA,2017-02-13 20:28:09
"2015-6034170371415","2015-6034","02/10/2017 16:26:58",0.100049,"2F4D","45",0,98,8,5,2017-02-10 16:26:58,NA,2017-02-10 16:28:17
"2015-6034170371415","2015-6034","02/11/2017 23:46:27",0.373708,"2F4D","D8",0,85,0,5,2017-02-11 23:46:27,112769.273658991,2017-02-11 23:47:46
"2015-6034170371415","2015-6034","02/13/2017 11:10:44",0.185462,"2F4D","3F",0,107,46,5,2017-02-13 11:10:44,127456.811753988,2017-02-13 11:12:03
"2015-6034170371415","2015-6034","02/09/2017 13:25:28",0.18282,"2F51","E9",0,90,8,5,2017-02-09 13:25:28,NA,2017-02-09 13:26:47
"2015-6034170371415","2015-6034","02/13/2017 11:06:22",0.238239,"2F51","3A",0,139,45,5,2017-02-13 11:06:22,337254.055418968,2017-02-13 11:07:41
"2015-6034170371415","2015-6034","02/08/2017 12:11:54",0.176524,"2F52","C9",0,95,8,5,2017-02-08 12:11:54,NA,2017-02-08 12:13:13
"2015-6034170371415","2015-6034","02/08/2017 23:41:35",0.720533,"2F53","2F",0,94,0,5,2017-02-08 23:41:35,NA,2017-02-08 23:42:54
"2015-6034170371415","2015-6034","02/10/2017 15:43:29",0.971045,"2F54","9D",0,87,8,5,2017-02-10 15:43:29,NA,2017-02-10 15:44:48
"2015-6034170371415","2015-6034","02/13/2017 03:19:30",0.91294,"2F54","D2",0,93,0,5,2017-02-13 03:19:30,214560.941895008,2017-02-13 03:20:49
"2015-6034170371415","2015-6034","02/13/2017 17:53:50",0.201259,"2F54","0E",0,76,8,5,2017-02-13 17:53:50,52459.2883188725,2017-02-13 17:55:09
"2015-6034170371415","2015-6034","02/07/2017 08:12:47",0.628445,"2F55","5D",0,79,0,5,2017-02-07 08:12:47,NA,2017-02-07 08:14:06
"2015-6034170371415","2015-6034","02/10/2017 02:33:36",0.045071,"2F55","F5",0,86,0,5,2017-02-10 02:33:36,238848.416625977,2017-02-10 02:34:55
"2015-6034170371415","2015-6034","02/11/2017 21:22:57",0.266826,"2F55","C1",0,94,0,5,2017-02-11 21:22:57,154161.221755028,2017-02-11 21:24:16
"2015-6034170371415","2015-6034","02/13/2017 15:08:58",0.090246,"2F55","35",0,92,29,5,2017-02-13 15:08:58,150360.823420048,2017-02-13 15:10:17
"2015-6034170371415","2015-6034","02/07/2017 05:21:23",0.025969,"2F57","36",0,72,0,5,2017-02-07 05:21:23,NA,2017-02-07 05:22:42
"2015-6034170371415","2015-6034","02/09/2017 12:42:19",0.535817,"2F5A","0A",0,99,11,5,2017-02-09 12:42:19,NA,2017-02-09 12:43:38
"2015-6034170371415","2015-6034","02/12/2017 06:20:56",0.439469,"2F5A","AF",0,83,0,5,2017-02-12 06:20:56,236316.903652191,2017-02-12 06:22:15
"2015-6034170371415","2015-6034","02/13/2017 11:06:56",0.259598,"2F5A","6A",0,115,56,5,2017-02-13 11:06:56,103559.820128918,2017-02-13 11:08:15
"2015-6034170371415","2015-6034","02/11/2017 01:44:10",0.437412,"2F5B","67",0,76,0,5,2017-02-11 01:44:10,NA,2017-02-11 01:45:29
"2015-6034170371415","2015-6034","02/11/2017 18:10:09",0.557869,"2F5B","6F",0,90,0,5,2017-02-11 18:10:09,59159.120456934,2017-02-11 18:11:28
"2015-6034170371415","2015-6034","02/12/2017 21:49:11",0.800809,"2F5B","78",0,85,0,5,2017-02-12 21:49:11,99542.242939949,2017-02-12 21:50:30
"2015-6034170371415","2015-6034","02/13/2017 16:10:22",0.688959,"2F5B","02",0,128,16,5,2017-02-13 16:10:22,66070.8881499767,2017-02-13 16:11:41
"2015-6034170371415","2015-6034","02/13/2017 20:24:21",0.86202,"2F5B","18",0,132,60,5,2017-02-13 20:24:21,15239.1730611324,2017-02-13 20:25:40
"2015-6034170371415","2015-6034","02/10/2017 01:31:07",0.256356,"2F5D","BD",0,73,0,5,2017-02-10 01:31:07,NA,2017-02-10 01:32:26
"2015-6034170371415","2015-6034","02/10/2017 16:01:16",0.377623,"2F5D","A5",0,100,8,5,2017-02-10 16:01:16,52209.1212670803,2017-02-10 16:02:35
"2015-6034170371415","2015-6034","02/13/2017 20:13:36",0.100851,"2F5D","97",0,132,54,5,2017-02-13 20:13:36,274339.723227978,2017-02-13 20:14:55
"2015-6034170371415","2015-6034","02/13/2017 20:20:10",0.632675,"2F65","2B",0,134,60,5,2017-02-13 20:20:10,NA,2017-02-13 20:21:29
"2015-6034170371415","2015-6034","02/14/2017 09:45:15",0.103975,"2F65","C1",0,119,15,5,2017-02-14 09:45:15,48304.4713001251,2017-02-14 09:46:34
"2015-6034170371415","2015-6034","02/13/2017 15:09:11",0.930499,"2F69","ED",0,140,43,5,2017-02-13 15:09:11,NA,2017-02-13 15:10:30
"2015-6034170371415","2015-6034","02/13/2017 20:04:55",0.808719,"2F69","D2",0,122,65,5,2017-02-13 20:04:55,17743.8782198429,2017-02-13 20:06:14
"2015-6034170371415","2015-6034","02/14/2017 06:45:17",0.340924,"2F69","84",0,126,11,5,2017-02-14 06:45:17,38421.5322051048,2017-02-14 06:46:36
