//Index,Tag ID (hex),PRI,Tag ID (dec),,
465,3965,5,14693,,
466,396A,5,14698,,
467,396B,5,14699,,
468,396D,5,14701,,
469,3975,5,14709,,
470,39A5,5,14757,,
471,39A9,5,14761,,
472,39AB,5,14763,,
473,39B5,5,14773,,
474,39D5,5,14805,,
475,3A15,5,14869,,
476,3A25,5,14885,,
477,3A2A,5,14890,,
478,3A2B,5,14891,,
479,3A2D,5,14893,,
480,3A45,5,14917,,
481,3A49,5,14921,,
482,3A4A,5,14922,,
483,3A4B,5,14923,,
484,3A53,5,14931,,
485,3A54,5,14932,,
486,3A55,5,14933,,
487,3A56,5,14934,,
488,3A57,5,14935,,
489,3A5A,5,14938,,
490,3A5D,5,14941,,
491,3A65,5,14949,,
492,3A85,5,14981,,
493,3A89,5,14985,,
494,3A8B,5,14987,,
495,3A91,5,14993,,
496,3A92,5,14994,,
497,3A93,5,14995,,
498,3A95,5,14997,,
499,3A96,5,14998,,
500,3A97,5,14999,,
501,3A99,5,15001,,
502,3A9A,5,15002,,
503,3A9B,5,15003,,
504,3A9D,5,15005,,
505,3AA1,5,15009,,
506,3AA3,5,15011,,
507,3AA4,5,15012,,
508,3AA6,5,15014,,
509,3AA7,5,15015,,
510,3AA8,5,15016,,
511,3AA9,5,15017,,
512,3AAC,5,15020,,
513,3AAD,5,15021,,
514,3AAE,5,15022,,
515,3AAF,5,15023,,
516,3AB2,5,15026,,
517,3AB4,5,15028,,
518,3AB5,5,15029,,
519,3AB7,5,15031,,
520,3AB9,5,15033,,
521,3ABB,5,15035,,
522,3AC5,5,15045,,
523,3AC9,5,15049,,
524,3ACB,5,15051,,
525,3ACD,5,15053,,
526,3AD9,5,15065,,
527,3ADA,5,15066,,
528,3ADD,5,15069,,
529,3AE9,5,15081,,
530,3AEA,5,15082,,
531,3AEB,5,15083,,
532,3AED,5,15085,,
533,3B15,5,15125,,
534,3B25,5,15141,,
535,3B29,5,15145,,
536,3B2A,5,15146,,
537,3B2D,5,15149,,
538,3B35,5,15157,,
539,3B45,5,15173,,
540,3B49,5,15177,,
541,3B4A,5,15178,,
542,3B4D,5,15181,,
543,3B51,5,15185,,
544,3B52,5,15186,,
545,3B53,5,15187,,
546,3B55,5,15189,,
547,3B56,5,15190,,
548,3B5A,5,15194,,
549,3B5B,5,15195,,
550,3B65,5,15205,,
551,3B6D,5,15213,,
552,3B95,5,15253,,
553,3BA5,5,15269,,
554,3BA9,5,15273,,
555,3BAA,5,15274,,
556,3BAB,5,15275,,
557,3BB5,5,15285,,
558,3BD5,5,15317,,
559,3CA9,5,15529,,
560,3CAA,5,15530,,
561,3CAB,5,15531,,
562,3CAD,5,15533,,
563,3CB5,5,15541,,
564,3CD5,5,15573,,
565,3D15,5,15637,,
566,3D25,5,15653,,
567,3D29,5,15657,,
568,3D2A,5,15658,,
569,3D2B,5,15659,,
570,3D2D,5,15661,,
571,3D35,5,15669,,
572,3D45,5,15685,,
573,3D49,5,15689,,
574,3D4A,5,15690,,
575,3D4B,5,15691,,
576,3D4D,5,15693,,
577,3D51,5,15697,,
578,3D52,5,15698,,
579,3D53,5,15699,,
580,3D54,5,15700,,
581,3D55,5,15701,,
582,3D56,5,15702,,
583,3D57,5,15703,,
584,3D59,5,15705,,
585,3D5A,5,15706,,
586,3D5B,5,15707,,
587,3D5D,5,15709,,
588,3D65,5,15717,,
589,3D69,5,15721,,
590,3D6A,5,15722,,
591,3D6B,5,15723,,
592,3D6D,5,15725,,
593,3D75,5,15733,,
594,3D95,5,15765,,
595,3DA5,5,15781,,
596,3DA9,5,15785,,
597,3DAA,5,15786,,
598,3DAB,5,15787,,
599,3DAD,5,15789,,
600,3DB5,5,15797,,
601,3DD5,5,15829,,
602,3E55,5,15957,,
603,3E95,5,16021,,
604,3EA5,5,16037,,
605,3EA9,5,16041,,
606,3EAA,5,16042,,
607,3EAB,5,16043,,
608,3EAD,5,16045,,
609,3EB5,5,16053,,
610,3ED5,5,16085,,
611,3F55,5,16213,,
612,4055,5,16469,,
613,4095,5,16533,,
614,40A5,5,16549,,
615,40A9,5,16553,,
616,40AA,5,16554,,
617,40AB,5,16555,,
618,40AD,5,16557,,
619,40B5,5,16565,,
620,40D5,5,16597,,
621,4115,5,16661,,
622,4125,5,16677,,
623,4129,5,16681,,
624,412A,5,16682,,
625,412B,5,16683,,
626,412D,5,16685,,
627,4135,5,16693,,
628,4145,5,16709,,
629,4149,5,16713,,
630,414A,5,16714,,
631,414B,5,16715,,
632,414D,5,16717,,
633,4151,5,16721,,
634,4152,5,16722,,
635,4153,5,16723,,
636,4154,5,16724,,
637,4155,5,16725,,
638,4156,5,16726,,
639,4157,5,16727,,
640,4159,5,16729,,
641,415A,5,16730,,
642,415B,5,16731,,
643,415D,5,16733,,
644,4165,5,16741,,
645,4169,5,16745,,
646,416A,5,16746,,
647,416B,5,16747,,
648,416D,5,16749,,
649,4175,5,16757,,
650,4195,5,16789,,
651,41A5,5,16805,,
652,41A9,5,16809,,
653,41AA,5,16810,,
654,41AB,5,16811,,
655,41AD,5,16813,,
656,41B5,5,16821,,
657,41D5,5,16853,,
658,4215,5,16917,,
659,4225,5,16933,,
660,4229,5,16937,,
661,422A,5,16938,,
662,422B,5,16939,,
663,422D,5,16941,,
664,4235,5,16949,,
665,4245,5,16965,,
666,4249,5,16969,,
667,424A,5,16970,,
668,424B,5,16971,,
669,424D,5,16973,,
670,4251,5,16977,,
671,4252,5,16978,,
672,4253,5,16979,,
673,4254,5,16980,,
189,3459,5,13401,,
194,346A,5,13418,,
674,6979,5,27001,,
675,697A,5,27002,,
676,697B,5,27003,,
677,697D,5,27005,,
678,6985,5,27013,,
679,6989,5,27017,,
680,698A,5,27018,,
681,698B,5,27019,,
682,698D,5,27021,,
683,6991,5,27025,,
684,6992,5,27026,,
685,6993,5,27027,,
686,6994,5,27028,,
687,6995,5,27029,,
688,6996,5,27030,,
689,6997,5,27031,,
690,6999,5,27033,,
691,699A,5,27034,,
692,699B,5,27035,,
693,699D,5,27037,,
694,69A1,5,27041,,
695,69A2,5,27042,,
696,69A3,5,27043,,
697,69A4,5,27044,,
698,69A5,5,27045,,
699,69A6,5,27046,,
700,69A7,5,27047,,
701,69A8,5,27048,,
702,69A9,5,27049,,
703,69AB,5,27051,,
704,69AC,5,27052,,
705,69AD,5,27053,,
706,69AE,5,27054,,
707,69AF,5,27055,,
